Application,Policy,Hostname,FriendlyName,Result,ExitCode,LastResult,Version,LastSeen,UUID
Google Chrome,Chrome Patching,Santinos-Mac.local,Santino's Mac,Success,0,Success,113.0.5672,04/12/2023,D2AD3F10
Google Chrome,Chrome Patching,Alessandras-Mac.local,Alessandra's Mac,Success,0,Success,113.0.5672,04/12/2023,F7F614C9
Google Chrome,Chrome Patching,Daisys-Mac.local,Daisy's Mac,Success,0,Success,113.0.5672,04/12/2023,07FF0051
Google Chrome,Chrome Patching,Julians-Mac.local,Julian's Mac,Success,0,Success,109.0.5414,04/12/2023,72719AD2
Google Chrome,Chrome Patching,Alayas-Mac.local,Alaya's Mac,Success,0,Success,113.0.5672,04/12/2023,31B09BE2
Google Chrome,Chrome Patching,Isabelles-Mac.local,Isabelle's Mac,Success,0,Success,106.0.5249,04/12/2023,5F8B75FD
Google Chrome,Chrome Patching,Maliks-Mac.local,Malik's Mac,Success,0,Success,105.0.5195,04/12/2023,CEBD6C3F
Google Chrome,Chrome Patching,Daniellas-Mac.local,Daniella's Mac,Success,0,Success,109.0.5414,04/12/2023,56A9A859
Google Chrome,Chrome Patching,Fernandos-Mac.local,Fernando's Mac,Success,0,Success,113.0.5672,04/12/2023,24ABFF00
Google Chrome,Chrome Patching,Johnnys-Mac.local,Johnny's Mac,Success,0,Success,113.0.5672,04/12/2023,F714F2D0
Google Chrome,Chrome Patching,Pedros-Mac.local,Pedro's Mac,Success,0,Success,113.0.5672,04/12/2023,D9658EF5
Google Chrome,Chrome Patching,Elliotts-Mac.local,Elliott's Mac,Success,0,Success,110.0.5481,04/12/2023,8B8C66A6
Google Chrome,Chrome Patching,Adrianas-Mac.local,Adriana's Mac,Success,0,Success,109.0.5414,04/12/2023,5A18D614
Google Chrome,Chrome Patching,Liams-Mac.local,Liam's Mac,Success,0,Success,113.0.5672,04/12/2023,04B0B2E4
Google Chrome,Chrome Patching,Kiras-Mac.local,Kira's Mac,Success,0,Success,113.0.5672,04/12/2023,4E2829AC
Google Chrome,Chrome Patching,Juliets-Mac.local,Juliet's Mac,Success,0,Success,113.0.5672,04/12/2023,C282647A
Google Chrome,Chrome Patching,Alyssas-Mac.local,Alyssa's Mac,Success,0,Success,113.0.5672,04/12/2023,8980F515
Google Chrome,Chrome Patching,Makaylas-Mac.local,Makayla's Mac,Success,0,Success,113.0.5672,04/12/2023,53413AE4
Google Chrome,Chrome Patching,Callans-Mac.local,Callan's Mac,Success,0,Success,113.0.5672,04/12/2023,9C6AF013
Google Chrome,Chrome Patching,Evelynns-Mac.local,Evelynn's Mac,Success,0,Success,109.0.5414,04/12/2023,D3FF00F1
Google Chrome,Chrome Patching,Joels-Mac.local,Joel's Mac,Success,0,Success,113.0.5672,04/12/2023,C6D37F1C
Google Chrome,Chrome Patching,Kades-Mac.local,Kade's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,B01DBC7B
Google Chrome,Chrome Patching,Demis-Mac.local,Demi's Mac,Success,0,Success,112.0.5615,04/12/2023,7D689F88
Google Chrome,Chrome Patching,Leightons-Mac.local,Leighton's Mac,Success,0,Success,113.0.5672,04/12/2023,59EFAE59
Google Chrome,Chrome Patching,Dominics-Mac.local,Dominic's Mac,Success,0,Success,113.0.5672,04/12/2023,BF999BB0
Google Chrome,Chrome Patching,Johns-Mac.local,John's Mac,Success,0,Success,106.0.5249,04/12/2023,ED5DE246
Google Chrome,Chrome Patching,Melanies-Mac.local,Melanie's Mac,Success,0,Success,113.0.5672,04/12/2023,FD0B8A20
Google Chrome,Chrome Patching,Gemmas-Mac.local,Gemma's Mac,Success,0,Success,109.0.5414,04/12/2023,B756A9ED
Google Chrome,Chrome Patching,Adalyns-Mac.local,Adalyn's Mac,Success,0,Success,113.0.5672,04/12/2023,DD496D1A
Google Chrome,Chrome Patching,Lexis-Mac.local,Lexi's Mac,Success,0,Success,113.0.5672,04/12/2023,1382D267
Google Chrome,Chrome Patching,Ericks-Mac.local,Erick's Mac,Success,0,Success,109.0.5414,04/12/2023,4C50F56D
Google Chrome,Chrome Patching,Antonios-Mac.local,Antonio's Mac,Success,0,Success,113.0.5672,04/12/2023,89DA9037
Google Chrome,Chrome Patching,Sullivans-Mac.local,Sullivan's Mac,Success,0,Success,113.0.5672,04/12/2023,F046386A
Google Chrome,Chrome Patching,Ryders-Mac.local,Ryder's Mac,Success,0,Success,111.0.5563,04/12/2023,1936E07A
Google Chrome,Chrome Patching,Faiths-Mac.local,Faith's Mac,Success,0,Success,113.0.5672,04/12/2023,3F51C996
Google Chrome,Chrome Patching,Cesars-Mac.local,Cesar's Mac,Success,0,Success,105.0.5195,04/12/2023,CDF70CD5
Google Chrome,Chrome Patching,Viviennes-Mac.local,Vivienne's Mac,Success,0,Success,113.0.5672,04/12/2023,5F9AC919
Google Chrome,Chrome Patching,Christophers-Mac.local,Christopher's Mac,Success,0,Success,113.0.5672,04/12/2023,7471DC85
Google Chrome,Chrome Patching,Leonardos-Mac.local,Leonardo's Mac,Success,0,Success,109.0.5414,04/12/2023,F3CDB5E4
Google Chrome,Chrome Patching,Franklins-Mac.local,Franklin's Mac,Success,0,Success,113.0.5672,04/12/2023,CDD48BB1
Google Chrome,Chrome Patching,Gias-Mac.local,Gia's Mac,Success,0,Success,113.0.5672,04/12/2023,875C69C0
Google Chrome,Chrome Patching,Paisleys-Mac.local,Paisley's Mac,Success,0,Success,113.0.5672,04/12/2023,6DB130FF
Google Chrome,Chrome Patching,Austins-Mac.local,Austin's Mac,Success,0,Success,113.0.5672,04/12/2023,B31F84C1
Google Chrome,Chrome Patching,Michaels-Mac.local,Michael's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,350FF07B
Google Chrome,Chrome Patching,Roses-Mac.local,Rose's Mac,Success,0,Success,113.0.5672,04/12/2023,74C7D949
Google Chrome,Chrome Patching,Stevies-Mac.local,Stevie's Mac,Success,0,Success,109.0.5414,04/12/2023,A71FAE06
Google Chrome,Chrome Patching,Jamess-Mac.local,James's Mac,Success,0,Success,110.0.5481,04/12/2023,6E0F229F
Google Chrome,Chrome Patching,Jensens-Mac.local,Jensen's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,3499071E
Google Chrome,Chrome Patching,Malanis-Mac.local,Malani's Mac,Success,0,Success,113.0.5672,04/12/2023,051BC46E
Google Chrome,Chrome Patching,Hayess-Mac.local,Hayes's Mac,Success,0,Success,113.0.5672,04/12/2023,21B7CFFD
Google Chrome,Chrome Patching,Navys-Mac.local,Navy's Mac,Success,0,Success,112.0.5615,04/12/2023,ABCFBAF7
Google Chrome,Chrome Patching,Cecilias-Mac.local,Cecilia's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,00EAAFDB
Google Chrome,Chrome Patching,Leonidass-Mac.local,Leonidas's Mac,Success,0,Success,109.0.5414,04/12/2023,0D60BFB2
Google Chrome,Chrome Patching,Miless-Mac.local,Miles's Mac,Success,0,Success,113.0.5672,04/12/2023,DD79A2A5
Google Chrome,Chrome Patching,Damiens-Mac.local,Damien's Mac,Success,0,Success,113.0.5672,04/12/2023,FF005837
Google Chrome,Chrome Patching,Ians-Mac.local,Ian's Mac,Success,0,Success,110.0.5481,04/12/2023,B541AB68
Google Chrome,Chrome Patching,Michelles-Mac.local,Michelle's Mac,Success,0,Success,113.0.5672,04/12/2023,4F6CD419
Google Chrome,Chrome Patching,Solomons-Mac.local,Solomon's Mac,Success,0,Success,113.0.5672,04/12/2023,B45EEEA4
Google Chrome,Chrome Patching,Aniyahs-Mac.local,Aniyah's Mac,Success,0,Success,113.0.5672,04/12/2023,5549A902
Google Chrome,Chrome Patching,Lauras-Mac.local,Laura's Mac,Success,0,Success,105.0.5195,04/12/2023,C976CD5C
Google Chrome,Chrome Patching,Tessas-Mac.local,Tessa's Mac,Success,0,Success,113.0.5672,04/12/2023,759DD5B7
Google Chrome,Chrome Patching,Romeos-Mac.local,Romeo's Mac,Success,0,Success,113.0.5672,04/12/2023,E14055A0
Google Chrome,Chrome Patching,Stevens-Mac.local,Steven's Mac,Success,0,Success,113.0.5672,04/12/2023,3EF8A1FE
Google Chrome,Chrome Patching,Kayleighs-Mac.local,Kayleigh's Mac,Success,0,Success,113.0.5672,04/12/2023,D0DB51B7
Google Chrome,Chrome Patching,Rosemarys-Mac.local,Rosemary's Mac,Success,0,Success,104.0.5112,04/12/2023,ACB35223
Google Chrome,Chrome Patching,Hugos-Mac.local,Hugo's Mac,Success,0,Success,113.0.5672,04/12/2023,F78AADBD
Google Chrome,Chrome Patching,Aylas-Mac.local,Ayla's Mac,Success,0,Success,110.0.5481,04/12/2023,3362AB8D
Google Chrome,Chrome Patching,Selahs-Mac.local,Selah's Mac,Success,0,Success,113.0.5672,04/12/2023,1CC5A8CB
Google Chrome,Chrome Patching,Dannas-Mac.local,Danna's Mac,Success,0,Success,112.0.5615,04/12/2023,92596CFD
Google Chrome,Chrome Patching,Fabians-Mac.local,Fabian's Mac,Success,0,Success,109.0.5414,04/12/2023,97FA8A0F
Google Chrome,Chrome Patching,Phoenixs-Mac.local,Phoenix's Mac,Waiting,1,Waiting,109.0.5414,04/12/2023,74B6D188
Google Chrome,Chrome Patching,Mabels-Mac.local,Mabel's Mac,Success,0,Success,113.0.5672,04/12/2023,809CD71B
Google Chrome,Chrome Patching,Nevaehs-Mac.local,Nevaeh's Mac,Success,0,Success,110.0.5481,04/12/2023,F463DC4C
Google Chrome,Chrome Patching,Paytons-Mac.local,Payton's Mac,Success,0,Success,105.0.5195,04/12/2023,3313FE1A
Google Chrome,Chrome Patching,Lucianas-Mac.local,Luciana's Mac,Success,0,Success,113.0.5672,04/12/2023,7F1FB3EC
Google Chrome,Chrome Patching,Rebeccas-Mac.local,Rebecca's Mac,Success,0,Success,113.0.5672,04/12/2023,CDB8ADBB
Google Chrome,Chrome Patching,Elles-Mac.local,Elle's Mac,Success,0,Success,113.0.5672,04/12/2023,A7B5BC3A
Google Chrome,Chrome Patching,Dereks-Mac.local,Derek's Mac,Success,0,Success,113.0.5672,04/12/2023,1D265768
Google Chrome,Chrome Patching,Peters-Mac.local,Peter's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,2E8B9A2B
Google Chrome,Chrome Patching,Coras-Mac.local,Cora's Mac,Success,0,Success,109.0.5414,04/12/2023,639CD5C1
Google Chrome,Chrome Patching,Everleighs-Mac.local,Everleigh's Mac,Success,0,Success,113.0.5672,04/12/2023,2B03EFBB
Google Chrome,Chrome Patching,Hanks-Mac.local,Hank's Mac,Success,0,Success,109.0.5414,04/12/2023,2EA9B799
Google Chrome,Chrome Patching,Zoeys-Mac.local,Zoey's Mac,Success,0,Success,113.0.5672,04/12/2023,C8668942
Google Chrome,Chrome Patching,Emersyns-Mac.local,Emersyn's Mac,Success,0,Success,113.0.5672,04/12/2023,FCF244D9
Google Chrome,Chrome Patching,Joses-Mac.local,Jose's Mac,Success,0,Success,113.0.5672,04/12/2023,7314EB22
Google Chrome,Chrome Patching,Arthurs-Mac.local,Arthur's Mac,Success,0,Success,105.0.5195,04/12/2023,E2375FD6
Google Chrome,Chrome Patching,Everetts-Mac.local,Everett's Mac,Success,0,Success,113.0.5672,04/12/2023,E227C9FE
Google Chrome,Chrome Patching,Gracelyns-Mac.local,Gracelyn's Mac,Success,0,Success,107.0.5304,04/12/2023,18F47D63
Google Chrome,Chrome Patching,Jocelyns-Mac.local,Jocelyn's Mac,Success,0,Success,113.0.5672,04/12/2023,77763C57
Google Chrome,Chrome Patching,Genevieves-Mac.local,Genevieve's Mac,Success,0,Success,110.0.5481,04/12/2023,8235C919
Google Chrome,Chrome Patching,Beaus-Mac.local,Beau's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,1FFEA159
Google Chrome,Chrome Patching,Isabellas-Mac.local,Isabella's Mac,Success,0,Success,106.0.5249,04/12/2023,C27BAAD3
Google Chrome,Chrome Patching,Mateos-Mac.local,Mateo's Mac,Success,0,Success,113.0.5672,04/12/2023,5020BB8C
Google Chrome,Chrome Patching,Phoenixs-Mac.local,Phoenix's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,53C693A8
Google Chrome,Chrome Patching,Nylahs-Mac.local,Nylah's Mac,Success,0,Success,113.0.5672,04/12/2023,115D056D
Google Chrome,Chrome Patching,Jordyns-Mac.local,Jordyn's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,61F6340F
Google Chrome,Chrome Patching,Camilles-Mac.local,Camille's Mac,Success,0,Success,113.0.5672,04/12/2023,626A9235
Google Chrome,Chrome Patching,Dakotas-Mac.local,Dakota's Mac,Success,0,Success,113.0.5672,04/12/2023,6EA5D3C3
Google Chrome,Chrome Patching,Abels-Mac.local,Abel's Mac,Success,0,Success,113.0.5672,04/12/2023,66EA4922
Google Chrome,Chrome Patching,Martins-Mac.local,Martin's Mac,Success,0,Success,113.0.5672,04/12/2023,7FA5479F
Google Chrome,Chrome Patching,Winstons-Mac.local,Winston's Mac,Success,0,Success,113.0.5672,04/12/2023,CF2A9C8E
Google Chrome,Chrome Patching,Lincolns-Mac.local,Lincoln's Mac,Success,0,Success,113.0.5672,04/12/2023,DE203ECB
Google Chrome,Chrome Patching,Ximenas-Mac.local,Ximena's Mac,Success,0,Success,113.0.5672,04/12/2023,C71CD77F
Google Chrome,Chrome Patching,Evas-Mac.local,Eva's Mac,Success,0,Success,113.0.5672,04/12/2023,6E769BC9
Google Chrome,Chrome Patching,Peytons-Mac.local,Peyton's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,ED55527F
Google Chrome,Chrome Patching,Annalises-Mac.local,Annalise's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,003A0337
Google Chrome,Chrome Patching,Morgans-Mac.local,Morgan's Mac,Success,0,Success,113.0.5672,04/12/2023,8F5CEDF3
Google Chrome,Chrome Patching,Tylers-Mac.local,Tyler's Mac,Success,0,Success,113.0.5672,04/12/2023,786186
Google Chrome,Chrome Patching,Mavericks-Mac.local,Maverick's Mac,Success,0,Success,113.0.5672,04/12/2023,4823BF27
Google Chrome,Chrome Patching,Omars-Mac.local,Omar's Mac,Success,0,Success,113.0.5672,04/12/2023,1D26DD04
Google Chrome,Chrome Patching,Pipers-Mac.local,Piper's Mac,Success,0,Success,113.0.5672,04/12/2023,370B17EF
Google Chrome,Chrome Patching,Victors-Mac.local,Victor's Mac,Success,0,Success,110.0.5481,04/12/2023,236AEC56
Google Chrome,Chrome Patching,Havens-Mac.local,Haven's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,71B14668
Google Chrome,Chrome Patching,Elis-Mac.local,Eli's Mac,Success,0,Success,113.0.5672,04/12/2023,7AFBAA6D
Google Chrome,Chrome Patching,Chances-Mac.local,Chance's Mac,Success,0,Success,113.0.5672,04/12/2023,A9F1162D
Google Chrome,Chrome Patching,Victorias-Mac.local,Victoria's Mac,Success,0,Success,107.0.5304,04/12/2023,FB9915CF
Google Chrome,Chrome Patching,Madelyns-Mac.local,Madelyn's Mac,Success,0,Success,113.0.5672,04/12/2023,DC4DA4B8
Google Chrome,Chrome Patching,Elians-Mac.local,Elian's Mac,Success,0,Success,113.0.5672,04/12/2023,BFFF0020
Google Chrome,Chrome Patching,Memphiss-Mac.local,Memphis's Mac,Success,0,Success,105.0.5195,04/12/2023,CD91EE69
Google Chrome,Chrome Patching,Josues-Mac.local,Josue's Mac,Success,0,Success,113.0.5672,04/12/2023,3F0D57D8
Google Chrome,Chrome Patching,Andres-Mac.local,Andre's Mac,Success,0,Success,107.0.5304,04/12/2023,29C938B7
Google Chrome,Chrome Patching,Juliettes-Mac.local,Juliette's Mac,Success,0,Success,113.0.5672,04/12/2023,FE5A6B75
Google Chrome,Chrome Patching,Remingtons-Mac.local,Remington's Mac,Success,0,Success,113.0.5672,04/12/2023,A3ED4DEC
Google Chrome,Chrome Patching,Junes-Mac.local,June's Mac,Success,0,Success,113.0.5672,04/12/2023,2E9CB82B
Google Chrome,Chrome Patching,Ryleighs-Mac.local,Ryleigh's Mac,Success,0,Success,104.0.5112,04/12/2023,B13EF4E8
Google Chrome,Chrome Patching,Angels-Mac.local,Angel's Mac,Success,0,Success,107.0.5304,04/12/2023,A813E8D7
Google Chrome,Chrome Patching,Dylans-Mac.local,Dylan's Mac,Success,0,Success,113.0.5672,04/12/2023,B6DA9892
Google Chrome,Chrome Patching,Lydias-Mac.local,Lydia's Mac,Success,0,Success,113.0.5672,04/12/2023,B7F7B15E
Google Chrome,Chrome Patching,Claytons-Mac.local,Clayton's Mac,Success,0,Success,113.0.5672,04/12/2023,DB6D0C6F
Google Chrome,Chrome Patching,Kamaris-Mac.local,Kamari's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,B15A6A09
Google Chrome,Chrome Patching,Brians-Mac.local,Brian's Mac,Success,0,Success,109.0.5414,04/12/2023,83A7DAEC
Google Chrome,Chrome Patching,Raymonds-Mac.local,Raymond's Mac,Success,0,Success,109.0.5414,04/12/2023,45F9D8C1
Google Chrome,Chrome Patching,Kaylees-Mac.local,Kaylee's Mac,Success,0,Success,113.0.5672,04/12/2023,51BED408
Google Chrome,Chrome Patching,Jaces-Mac.local,Jace's Mac,Success,0,Success,111.0.5563,04/12/2023,509FF16E
Google Chrome,Chrome Patching,Reids-Mac.local,Reid's Mac,Success,0,Success,105.0.5195,04/12/2023,69254DEF
Google Chrome,Chrome Patching,Liliths-Mac.local,Lilith's Mac,Success,0,Success,113.0.5672,04/12/2023,8C7D477F
Google Chrome,Chrome Patching,Novas-Mac.local,Nova's Mac,Success,0,Success,110.0.5481,04/12/2023,E96D4723
Google Chrome,Chrome Patching,Deans-Mac.local,Dean's Mac,Success,0,Success,113.0.5672,04/12/2023,35B70BBE
Google Chrome,Chrome Patching,Calis-Mac.local,Cali's Mac,Success,0,Success,107.0.5304,04/12/2023,8FE551DB
Google Chrome,Chrome Patching,Laurens-Mac.local,Lauren's Mac,Success,0,Success,113.0.5672,04/12/2023,AD15CF6E
Google Chrome,Chrome Patching,Nashs-Mac.local,Nash's Mac,Success,0,Success,106.0.5249,04/12/2023,FF008BC1
Google Chrome,Chrome Patching,Axels-Mac.local,Axel's Mac,Success,0,Success,113.0.5672,04/12/2023,9F6F2A03
Google Chrome,Chrome Patching,Cohens-Mac.local,Cohen's Mac,Success,0,Success,113.0.5672,04/12/2023,6359AF75
Google Chrome,Chrome Patching,Declans-Mac.local,Declan's Mac,Waiting,1,Waiting,111.0.5563,04/12/2023,BA6ED65F
Google Chrome,Chrome Patching,Olivias-Mac.local,Olivia's Mac,Success,0,Success,113.0.5672,04/12/2023,32FF00E6
